RECKITTBEN,1210.00,1245.00,1210.00,1245.00,2300
RELIANCINS,1136.25,1145.00,1122.00,1122.00,850
RENATA,10665.00,10725.00,10665.00,10681.00,6050
RENWICKJA,840.00,840.00,840.00,840.00,5
REPUBLIC,637.00,637.00,637.00,637.00,100
RNSPIN,79.80,80.70,79.00,80.70,298750
RUPALIBANK,1415.00,1424.00,1400.00,1419.00,1000
RUPALIINS,129.80,131.80,127.50,130.80,32500
RUPALILIFE,2625.00,2625.00,2600.00,2610.00,1000
SAFKOSPINN,428.50,436.50,428.50,435.00,800
SAIHAMTEX,64.80,64.90,63.80,64.00,20100
SALAMCRST,595.00,604.00,580.00,600.00,42150
SALVOCHEM,55.00,55.80,54.90,54.90,148500
SAMATALETH,201.50,205.25,201.00,205.00,500
SAMORITA,1081.00,1081.00,1080.00,1080.00,150
SANDHANINS,383.50,383.50,376.10,379.90,18750
SAPORTL,82.20,82.20,80.10,82.00,30900
SAVAREFR,682.00,682.00,680.00,680.00,35
SEBL1STMF,9.10,9.10,9.10,9.10,2000
SHAHJABANK,38.90,39.00,38.10,38.40,226100
SHYAMPSUG,17.50,17.50,16.40,16.40,3800
SIBL,23.20,23.90,23.20,23.80,3055250
SINGERBD,2825.00,2825.00,2800.00,2817.00,915
SINOBANGLA,44.10,44.10,44.10,44.10,5000
SONALIANSH,1707.00,1740.00,1702.25,1720.00,930
SONARBAINS,534.00,534.25,534.00,534.25,150
SONARGAON,486.00,486.00,482.00,483.00,1500
SOUTHEASTB,325.00,327.00,321.50,325.00,141500
SPCERAMICS,51.50,52.00,51.40,52.00,155100
SQUARETEXT,143.00,145.00,138.40,145.00,130450
SQURPHARMA,3565.00,3590.00,3555.00,3566.25,6463
STANCERAM,465.25,480.00,465.25,477.00,1350
STANDARINS,539.75,547.75,521.50,522.00,8050
STANDBANKL,329.00,330.00,322.00,327.00,27850
STYLECRAFT,5800.00,5800.00,5750.00,5750.00,20
SUMITPOWER,82.00,82.30,81.30,82.00,50900
TAKAFULINS,784.75,784.75,783.00,783.00,100
TALLUSPIN,617.75,617.75,608.00,608.00,200
TBL,450.00,450.00,411.00,450.00,70
TITASGAS,807.00,810.00,797.25,801.25,16150
TRUSTB1MF,12.20,12.60,12.20,12.50,707500
TRUSTBANK,455.00,455.00,438.00,444.00,7000
UCBL,59.40,59.80,58.90,59.40,711450
ULC,841.50,841.50,831.00,835.75,1120
UNIONCAP,98.90,100.50,98.00,99.60,78000
UNITEDAIR,45.80,46.30,45.70,46.30,528100
UNITEDINS,890.50,910.00,890.50,906.00,2660
USMANIAGL,1358.00,1370.00,1346.00,1370.00,970
UTTARABANK,80.80,80.90,78.90,79.70,148500
UTTARAFIN,182.70,183.90,181.00,183.30,14400
ZEALBANGLA,18.90,19.10,18.80,19.00,12200
